event_type,time_of_day,mood,fragrance_id,name,brand,retrieval_text,relevance_score
Date Night,Morning,Fresh,11371,Distinct for Women,Louis Varel,"Distinct for Women by Louis Varel | Notes: Grapefruit, Green apple, Peach | Freesia, Iris, Orange blossom | Musk, Patchouli, Praliné",0.6
Date Night,Morning,Fresh,30144,SeeByChloé Si Belle,Chloé,"SeeByChloé Si Belle by Chloé | Notes: Birch leaf, Neroli | Orange blossom, Gardenia | White musk",0.8
Date Night,Morning,Fresh,4989,Bellagio,Primera Perfumes,"Bellagio by Primera Perfumes | Notes: Blackcurrant, Cinnamon, Clove, Raspberry, Rose | Patchouli, Sandalwood | Amber, Frankincense, Musk, White oud",0.3
Date Night,Morning,Fresh,957,Air Lotto 2011 After Shave,Lotto,"Air Lotto 2011 After Shave by Lotto | Notes: Amalfi lemon | Cardamom, Ginger, Sage | Oakmoss, Sandalwood, Virginia cedar",0.1
Date Night,Morning,Fresh,9898,Country.,Colornoise,"Country. by Colornoise | Notes: Lavender, Green leaves, Bergamot, Gymwear | Musk, Jasmine, Lily of the valley, Raspberry | Coffee, Vanilla, Amber, Patchouli, Sandalwood",0.4
Wedding,Evening,Bold,11806,Dream ＋ GAP 2001 Body Mist,GAP,"Dream ＋ GAP 2001 Body Mist by GAP | Notes: Rose, Spices | Saffron, Musk, Amber, Vanilla | Cedar, Oud, Sandalwood",0.7
Wedding,Evening,Bold,32655,Tommy Now Them,Tommy Hilfiger,"Tommy Now Them by Tommy Hilfiger | Notes: Bergamot, Mandarin orange, Pear, Pink pepper | Cardamom, Geranium, Ginger | Cashmeran, Moss, Sandalwood",0.6
Wedding,Evening,Bold,13254,Erdenstern,April Aromatics,"Erdenstern by April Aromatics | Notes: Bergamot, Blackcurrant, Passion fruit, Sewer | Jasmine, Peony, Rose, Vanilla, Finglebop | Musk, Patchouli",0.3
Wedding,Evening,Bold,21419,Le Paradis de Nina,Nina Ricci,"Le Paradis de Nina by Nina Ricci | Notes: Almond, Orange, Mandarin orange, Orange blossom | Gardenia, Heliotrope, Red apple | Vanilla, Patchouli, Sandalwood, Woods",0.5
Wedding,Evening,Bold,11445,Dkhoun Red Tea EDP,Al Dakheel Oud,"Dkhoun Red Tea EDP by Al Dakheel Oud | Notes: Fruity Notes, Bergamot | Roses, Spices, Flowers | Musk, Moss, Amber",0.8
Gala,Morning,Subtle,8839,Citrus Fresh E&S Rasage 1988 Eau de Toilette,E&S Rasage,"Citrus Fresh E&S Rasage 1988 Eau de Toilette by E&S Rasage | Notes: Spearmint, Bergamot, Tagetes, Lavender, Lemon, Tarragon, Vorblex | Heliotrope, Laurel, Vetiver, Aniseed, Carnation, Geranium, Jasmine, Patchouli, Rosemary | Tonka bean, Amber, Benzoin, Leather, Moss, Vanilla, Patchouli",0.3
Gala,Morning,Subtle,8814,Citron Boboli,Le Jardin Retrouvé,"Citron Boboli by Le Jardin Retrouvé | Notes: Italian lemon, Galbanum, Bitter orange, Cinnamon, Lime, Petitgrain | Clove, Black pepper, Geranium | Musk, Vanilla",0.4
Gala,Morning,Subtle,34403,Victoria's Secret Pink Golden Honey Body Mist - 250 ml,250 ml,"Victoria's Secret Pink Golden Honey Body Mist - 250 ml by 250 ml | Notes: Honey | Honeysuckle, Pear | Amber, Vanilla",0.1
Gala,Morning,Subtle,20173,Kuwait,Roja Parfums,"Kuwait by Roja Parfums | Notes: Citron, Rosemary | Cistus, Peach, Geranium, Grasse jasmine, Heliotrope, May rose, Orange blossom, Violet, Blackcurrant bud | Oud, Musk, Ambergris, Birch, Cashmere wood, Labdanum, Saffron, Sandalwood, Vanilla, Benzoin, Civet, Leather, Rhubarb, Tonka bean, Oakmoss, Patchouli",0.8
Gala,Morning,Subtle,24825,Must de Cartier Cartier Fond de Parfum,Cartier,"Must de Cartier Cartier Fond de Parfum by Cartier | Notes: Galbanum, Mandarin orange, Neroli | Jasmine, Narcissus, Rose | Musk, Vanilla, Vetiver",0.6
Festival,Night,Fresh,33721,Van Cleef & Arpels Neroli Amaral,Van Cleef & Arpels,"Van Cleef & Arpels Neroli Amaral by Van Cleef & Arpels | Notes: Bergamot, Italian Lemon, Mandarin Orange, Pink Pepper | Black Pepper, Cypress, Orange Blossom, Pear | Neroli, White Musk",0.8
Festival,Night,Fresh,14619,Fleur Défendue Forbidden Flower,Lolita Lempicka,"Fleur Défendue Forbidden Flower by Lolita Lempicka | Notes: Green notes, Strawberry leaf, Green stems | Violet, Aniseed, Peony | Sour cherry, Almond, Musk",0.3
Festival,Night,Fresh,28020,Pure for Men Jil Sander 2004 After Shave,Jil Sander,"Pure for Men Jil Sander 2004 After Shave by Jil Sander | Notes: Juniper berry, Mandarin orange, Fir resin | White musk | Mahogany wood, Sandalwood, Vanilla",0.2
Festival,Night,Fresh,12678,Elfenparfum - Umarm Dich,Wolken Parfums,"Elfenparfum - Umarm Dich by Wolken Parfums | Notes: Green notes, Mandarin orange, Tea | Lily of the valley, Peach, Rose | Blossoms, Dried fruits",0.6
Festival,Night,Fresh,34183,Very M.C.,MCM,"Very M.C. by MCM | Notes: Bergamot, Blackcurrant, Caraway, Curly mint, Green notes, Lavender, Lemon, Mandarin orange, Marine notes, Melon, Pineapple | Cyclamen, Gardenia, Geranium, Jasmine, Orange blossom, Orchid | Ambergris, Cinnamon, Musk, Sandalwood, Vetiver",0.7
Casual,Morning,Fresh,5883,Blue Glow,Jennifer Lopez,"Blue Glow by Jennifer Lopez | Notes: Mangosteen, Currant blossom, Orange | Aquatic notes, Orchid, Rose, Water lily | Cedar, Florymoss®, Mahogany wood, Tonka bean, Vanilla",0.6
Casual,Morning,Fresh,6285,Bond No 9 B9 Perfume,Bond No 9,"Bond No 9 B9 Perfume by Bond No 9 | Notes: Saffron, Citric notes | Orange flowers, jasmine, balsam, sandalwood | Saffron, Cedar, Pink Pepper",0.3
Casual,Morning,Fresh,209,Abreez Hair Mist Bundle,,Abreez Hair Mist Bundle | Notes: Patchouli,0.2
Casual,Morning,Fresh,16924,Habit Rouge Guerlain 2009 Extrait,Guerlain,"Habit Rouge Guerlain 2009 Extrait by Guerlain | Notes: Lemon, Lime, Orange, Bergamot | Patchouli, Spices | Vanilla, Leather",0.1
Casual,Morning,Fresh,15043,Forever Moschino 2011 After Shave Lotion,Moschino,"Forever Moschino 2011 After Shave Lotion by Moschino | Notes: Kumquat, Star anise, Bergamot | Tonka bean, Clary sage, Black pepper | Sandalwood, Musk, Vetiver",0.4
Casual,Morning,Mysterious,27302,Phtaloblue,Tauer Perfumes,"Phtaloblue by Tauer Perfumes | Notes: Fennel, Bulgarian lavender, Sicilian lemon, Bergamot | Rock samphire, Bourbon geranium, Orange blossom | Tonka bean, Amber, Cedar",0.6
Casual,Morning,Mysterious,4956,Bella Blanca,Oscar de la Renta,"Bella Blanca by Oscar de la Renta | Notes: Freesia, Blackcurrant, Green pear, Mandarin orange | Violet leaf, White rose, Jasmine sambac, Lily of the valley | Kashmiri musk, Ambrox, Peach skin, Sandalwood",0.7
