Name,Formality,Season,Gender,Time_of_Day,Frequency,Longevity,Notes
Secret Wood No.1,0.64,Winter,Female,Day,Occasionally,Long,"Lavender, Apple | Freesia, Geranium | Musk, Amber, Cedarwood | Accords: Powdery, Woody, Earthy"
Crimson Rose No.2,0.15,Spring,Male,Day,Occasionally,Long,"Lavender, Peach | Violet, Rose | Musk, Vetiver, Incense | Accords: Fresh, Woody, Fruity"
Mystic Dream No.3,0.59,Winter,Male,Day,Often,Long,"Lemon, Mint | Clary Sage, Rose | Cedarwood, Tonka Bean, Leather | Accords: Fresh, Floral, Powdery"
Crystal Breeze No.4,0.43,Spring,Female,Day,Occasionally,Long,"Bergamot, Sea Salt | Clary Sage, Violet | Oakmoss, Sandalwood, Incense | Accords: Earthy, Floral, Smoky"
Mystic Amber No.5,0.2,Fall,Any,Night,Occasionally,Long,"Mandarin, Blackcurrant | Cardamom, Freesia | Vetiver, Patchouli, Sandalwood | Accords: Aquatic, Green, Fresh"
Desert Breeze No.6,0.53,Winter,Female,Night,Often,Short,"Blackcurrant, Mandarin | Jasmine, Violet | Patchouli, Incense, Tonka Bean | Accords: Smoky, Earthy, Fruity"
Secret Soul No.7,0.67,Fall,Any,Day,Occasionally,Short,"Lavender, Pineapple | Jasmine, Iris | Amber, Patchouli, Incense | Accords: Green, Floral, Aquatic"
Astral Shadow No.8,0.36,Winter,Male,Night,Occasionally,Long,"Pink Pepper, Mandarin | Cinnamon, Orchid | Oakmoss, Tonka Bean, Cedarwood | Accords: Fresh, Aquatic, Green"
Azure Elixir No.9,0.01,Fall,Any,Day,Occasionally,Short,"Lemon, Pineapple | Violet, Jasmine | Patchouli, Incense, Amber | Accords: Fresh, Aquatic, Spicy"
Secret Breeze No.10,0.07,Spring,Any,Night,Often,Long,"Mandarin, Pink Pepper | Iris, Nutmeg | Cedarwood, Amber, Sandalwood | Accords: Green, Fruity, Gourmand"
Ocean Soul No.11,0.26,Winter,Male,Night,Often,Long,"Grapefruit, Pineapple | Cardamom, Freesia | Leather, Musk, Vetiver | Accords: Floral, Fresh, Earthy"
Royal Rose No.12,0.14,Winter,Male,Day,Occasionally,Long,"Mint, Lemon | Cardamom, Rose | Tonka Bean, Oakmoss, Musk | Accords: Floral, Aquatic, Smoky"
Velvet Water No.13,0.01,Winter,Male,Night,Often,Short,"Grapefruit, Pink Pepper | Clary Sage, Jasmine | Oud, Vanilla, Vetiver | Accords: Aquatic, Citrus, Woody"
Midnight Elixir No.14,0.63,Fall,Any,Night,Often,Long,"Mint, Blackcurrant | Geranium, Orchid | Cedarwood, Incense, Sandalwood | Accords: Smoky, Aquatic, Gourmand"
Urban Storm No.15,0.71,Spring,Female,Night,Occasionally,Long,"Lavender, Blackcurrant | Iris, Clary Sage | Oakmoss, Sandalwood, Cedarwood | Accords: Woody, Citrus, Smoky"
Crystal Petal No.16,0.34,Fall,Male,Night,Occasionally,Long,"Bergamot, Grapefruit | Nutmeg, Cardamom | Patchouli, Vanilla, Vetiver | Accords: Spicy, Woody, Floral"
Velvet Spice No.17,0.11,Winter,Female,Night,Occasionally,Long,"Pink Pepper, Peach | Freesia, Lily of the Valley | Vanilla, Tonka Bean, Oakmoss | Accords: Powdery, Green, Fruity"
Urban Rose No.18,0.62,Winter,Female,Day,Often,Long,"Blackcurrant, Lavender | Freesia, Nutmeg | Vetiver, Vanilla, Oakmoss | Accords: Aquatic, Floral, Gourmand"
Solar Orchid No.19,0.68,Summer,Any,Night,Often,Long,"Pink Pepper, Sea Salt | Cinnamon, Lily of the Valley | Incense, Musk, Vetiver | Accords: Aquatic, Gourmand, Floral"
Neon Rose No.20,0.5,Fall,Female,Day,Occasionally,Long,"Bergamot, Pineapple | Clary Sage, Violet | Vanilla, Cedarwood, Incense | Accords: Woody, Floral, Smoky"
Phantom Spice No.21,0.91,Fall,Any,Night,Occasionally,Short,"Mint, Apple | Clary Sage, Orchid | Oakmoss, Amber, Musk | Accords: Green, Aquatic, Smoky"
Desert Storm No.22,0.61,Summer,Any,Day,Often,Short,"Pink Pepper, Sea Salt | Jasmine, Cardamom | Vanilla, Oud, Tonka Bean | Accords: Fruity, Earthy, Spicy"
Midnight Dream No.23,0.03,Spring,Any,Day,Occasionally,Short,"Bergamot, Lemon | Cardamom, Violet | Amber, Tonka Bean, Vetiver | Accords: Fruity, Floral, Fresh"
Urban Spice No.24,0.97,Winter,Male,Day,Occasionally,Short,"Pink Pepper, Sea Salt | Nutmeg, Cinnamon | Leather, Tonka Bean, Sandalwood | Accords: Spicy, Smoky, Earthy"
Neon Shadow No.25,0.18,Summer,Any,Night,Occasionally,Short,"Mandarin, Peach | Lily of the Valley, Cardamom | Amber, Vetiver, Leather | Accords: Smoky, Citrus, Gourmand"
Phantom Oud No.26,0.24,Winter,Female,Day,Occasionally,Long,"Blackcurrant, Lemon | Jasmine, Iris | Vetiver, Cedarwood, Oud | Accords: Powdery, Spicy, Floral"
Azure Orchid No.27,0.67,Winter,Female,Night,Occasionally,Long,"Pink Pepper, Bergamot | Iris, Freesia | Amber, Leather, Oakmoss | Accords: Spicy, Earthy, Aquatic"
Secret Shadow No.28,0.85,Winter,Any,Day,Often,Long,"Mint, Bergamot | Geranium, Lily of the Valley | Leather, Tonka Bean, Cedarwood | Accords: Aquatic, Citrus, Woody"
Golden Musk No.29,0.22,Summer,Female,Night,Occasionally,Long,"Pink Pepper, Mint | Orchid, Violet | Patchouli, Oud, Vetiver | Accords: Citrus, Fresh, Smoky"
Ocean Petal No.30,0.02,Spring,Male,Night,Occasionally,Long,"Mandarin, Pineapple | Clary Sage, Jasmine | Vanilla, Musk, Sandalwood | Accords: Powdery, Aquatic, Gourmand"
Crimson Dream No.31,0.06,Fall,Any,Day,Occasionally,Long,"Lavender, Lemon | Violet, Lily of the Valley | Oud, Patchouli, Cedarwood | Accords: Floral, Citrus, Fresh"
Secret Nectar No.32,0.0,Spring,Male,Day,Often,Long,"Blackcurrant, Bergamot | Rose, Violet | Incense, Cedarwood, Oakmoss | Accords: Fruity, Spicy, Green"
Neon Fire No.33,0.42,Fall,Any,Night,Occasionally,Long,"Lavender, Apple | Nutmeg, Violet | Musk, Cedarwood, Tonka Bean | Accords: Gourmand, Green, Fruity"
Crimson Rose No.34,0.03,Spring,Female,Day,Occasionally,Short,"Peach, Pink Pepper | Freesia, Orchid | Tonka Bean, Cedarwood, Vanilla | Accords: Fruity, Citrus, Floral"
