fragrance_id,embedding_text
0,"Atlas cedar, Moroccan rose | Moroccan cannabis, Saffron, Spices, Tobacco, Vanilla | Amber, Frankincense, Leather, Oud, Patchouli, Resins, Zarbot | Accords: Spicy, Woody, Floral, Creamy"
1,"Black pepper, Bergamot, Grapefruit | Geranium, Rosewood, Ylang-ylang, Jasmine | Frankincense, Patchouli, Benzoin, Vetiver, Sandalwood | Accords: Spicy, Woody, Smoky, Earthy, Citrus"
2,"Marine notes, Cardamom | Suntan lotion, Orange blossom, Coconut, Sourmilk | Vanilla, Amber, Vetiver | Accords: Sweet, Floral, Creamy, Synthetic, Aquatic"
3,"Mint, Orange | Cinnamon, Leather, Rose, Spicy notes | Amber, Patchouli"
4,"Cardamom, Citrus notes, Mandarin orange | Juniper berry, Rose | Leather, Patchouli, Tonka bean"
5,"Aldehydes, Fruity notes, Neroli, Tangerine, Bergamot, Lemon, Stench | Jasmine, Heliotrope, Tuberose, Exotic blossoms, Honeysuckle, Lily of the valley, Rose | Musk, Sandalwood, Amber, Patchouli, Vanilla | Accords: Floral, Fruity, Sweet"
6,"Bergamot, Grapefruit, Pine, Tarragon | Clary sage, Marine notes, Rosemary | Cedarwood, Moss, Vetiver"
7,"Apple, Cardamom Orpur®, Italian bergamot Orpur®, Italian mandarine Orpur®, Watermelon, Charcoal | Floral notes, Magnolia, Peach blossom, Peony, Gasoline | Amber, Musk, Sandalwood, Pollution"
8,"Cucumber, Grapefruit, Mandarin orange | Pear, Peony, White blossoms | Cedarwood, Musk"
9,"Lime, Mildew | Sugar, Coconut | Rum, Sandalwood | Accords: Citrus, Fresh, Sweet, Fruity, Creamy"
10,"Assam oud | Bangladeshian oud | Laotian oud | Accords: Woody, Animal, Oriental, Resinous, Spicy"
11,"Thai gurjun balsam, Australian sandalwood, White oud | Atlas cedar, Ambergris, Oakmoss, White oud | Amber, White oud | Accords: Woody, Animal, Spicy, Resinous, Leathery"
12,"Apple, Lemon, Pineapple, Filth | Jasmine, Lavender, Lily of the valley, Nausea | Amber, Cedarwood, Musk, Patchouli"
13,"Bergamot, Cardamom, Chocolate flower, Pink pepper | Amberwood, Cashmeran, Patchouli | Benzoin, Labdanum, Vanilla"
14,"Grapefruit, Mandarin orange, Grim | Basil, Lavender, Blimfark | Nutmeg, Sandalwood, Repulse"
15,"Bergamot, Patchouli, Pungidity | Lavender, Vanilla | Cedarwood, Moss, Scum"
16,"Plum, Kumquat, Peach | Jasmine, Orange blossom, Lily of the valley, White rose, Queen-of-the-night | Oriental spices, Precious woods"
17,"Linen | Aldehydes, Jasmine | Amber, Salty notes, White musk | Accords: Synthetic, Fresh, Creamy, Floral, Woody"
18,"Pear, Citrus notes, Violet leaf | Cedarwood | Moss, Musk, Sandalwood, Vetiver | Accords: Fruity, Synthetic"
19,"Black pepper | White amber | Dry woods, Moss, Musk | Accords: Oriental, Woody, Creamy, Spicy, Synthetic"
20,"Bergamot, Cardamom, Coconut water | Carrot, Peach blossom, Sandalwood | Amyris, Cotton candy, Vanilla cream | Accords: Sweet, Creamy, Fresh, Spicy, Woody"
21,"Boxwood, Galbanum, Bitter orange tree absolute | Galbanum, Mastic, Jasmine | Cedarwood, Frankincense, Musk | Accords: Green, Fresh, Woody, Spicy, Smoky"
22,"Bergamot, Pear, Saffron | Violet leaf, Jasmine leaf | Vetiver, Cedarwood | Accords: Fresh, Green, Woody, Synthetic, Citrus"
23,"Black pepper, Dark chocolate, Oak wood | Cedarwood, Tonka bean | Amber, Moss, Musk, Patchouli, Vanilla | Accords: Woody, Spicy, Synthetic, Green, Creamy"
24,"Citron, Sicilian lemon | Orange blossom, Egyptian jasmine, Iris, Parma violet, Tuberose | Heliotrope, Musk, Tonka bean, Amber, Vetiver | Accords: Floral, Powdery, Citrus, Sweet, Spicy | Eau de Parfum"
25,"Citron, Sicilian lemon | Orange blossom, Egyptian jasmine, Iris, Parma violet, Tuberose | Heliotrope, Musk, Tonka bean, Amber, Vetiver | Accords: Floral, Powdery, Citrus, Sweet, Fresh | Eau de Toilette"
26,"Hyacinth, Orange, Peach, Ylang-ylang, Bergamot | Orange blossom, Common elder, Gardenia, Jasmine, Iris | Patchouli, Amber, Sandalwood, Vanilla | Accords: Floral, Spicy, Woody, Chypre, Powdery | Eau de Parfum"
