fragrance_id,name,brand,top_notes,middle_notes,base_notes,main_accords,gender,concentration,rating_value,rating_count,longevity,sillage,year,category,source,embedding_text
0,# Nota di Viaggio (Ciavuru d'Amuri),Meo Fusciuni,"Atlas cedar, Moroccan rose","Moroccan cannabis, Saffron, Spices, Tobacco, Vanilla","Amber, Frankincense, Leather, Oud, Patchouli, Resins, Zarbot","Spicy, Woody, Floral, Creamy",,,7.2,18.0,,,2010.0,,parfumo,"Atlas cedar, Moroccan rose | Moroccan cannabis, Saffron, Spices, Tobacco, Vanilla | Amber, Frankincense, Leather, Oud, Patchouli, Resins, Zarbot | Accords: Spicy, Woody, Floral, Creamy"
1,# Nota di Viaggio (Rites de Passage),Meo Fusciuni,"Black pepper, Bergamot, Grapefruit","Geranium, Rosewood, Ylang-ylang, Jasmine","Frankincense, Patchouli, Benzoin, Vetiver, Sandalwood","Spicy, Woody, Smoky, Earthy, Citrus",,,8.0,56.0,,,2010.0,,parfumo,"Black pepper, Bergamot, Grapefruit | Geranium, Rosewood, Ylang-ylang, Jasmine | Frankincense, Patchouli, Benzoin, Vetiver, Sandalwood | Accords: Spicy, Woody, Smoky, Earthy, Citrus"
2,# Nota di Viaggio (Shukran…),Meo Fusciuni,"Marine notes, Cardamom","Suntan lotion, Orange blossom, Coconut, Sourmilk","Vanilla, Amber, Vetiver","Sweet, Floral, Creamy, Synthetic, Aquatic",,,6.9,56.0,,,1999.0,,parfumo,"Marine notes, Cardamom | Suntan lotion, Orange blossom, Coconut, Sourmilk | Vanilla, Amber, Vetiver | Accords: Sweet, Floral, Creamy, Synthetic, Aquatic"
3,$ for Men,Lazell,"Mint, Orange","Cinnamon, Leather, Rose, Spicy notes","Amber, Patchouli",,,,,,,,,,parfumo,"Mint, Orange | Cinnamon, Leather, Rose, Spicy notes | Amber, Patchouli"
4,$ Next,Lazell,"Cardamom, Citrus notes, Mandarin orange","Juniper berry, Rose","Leather, Patchouli, Tonka bean",,,,,,,,,,parfumo,"Cardamom, Citrus notes, Mandarin orange | Juniper berry, Rose | Leather, Patchouli, Tonka bean"
5,$ Vip,Lazell,"Aldehydes, Fruity notes, Neroli, Tangerine, Bergamot, Lemon, Stench","Jasmine, Heliotrope, Tuberose, Exotic blossoms, Honeysuckle, Lily of the valley, Rose","Musk, Sandalwood, Amber, Patchouli, Vanilla","Floral, Fruity, Sweet",,,8.3,2.0,,,,,parfumo,"Aldehydes, Fruity notes, Neroli, Tangerine, Bergamot, Lemon, Stench | Jasmine, Heliotrope, Tuberose, Exotic blossoms, Honeysuckle, Lily of the valley, Rose | Musk, Sandalwood, Amber, Patchouli, Vanilla | Accords: Floral, Fruity, Sweet"
6,% Man,Lambre,"Bergamot, Grapefruit, Pine, Tarragon","Clary sage, Marine notes, Rosemary","Cedarwood, Moss, Vetiver",,,,,,,,,,parfumo,"Bergamot, Grapefruit, Pine, Tarragon | Clary sage, Marine notes, Rosemary | Cedarwood, Moss, Vetiver"
7,% Pure Love,Ganache Parfums,"Apple, Cardamom Orpur®, Italian bergamot Orpur®, Italian mandarine Orpur®, Watermelon, Charcoal","Floral notes, Magnolia, Peach blossom, Peony, Gasoline","Amber, Musk, Sandalwood, Pollution",,,,,,,,,,parfumo,"Apple, Cardamom Orpur®, Italian bergamot Orpur®, Italian mandarine Orpur®, Watermelon, Charcoal | Floral notes, Magnolia, Peach blossom, Peony, Gasoline | Amber, Musk, Sandalwood, Pollution"
8,% Woman,Lambre,"Cucumber, Grapefruit, Mandarin orange","Pear, Peony, White blossoms","Cedarwood, Musk",,,,,,,,,,parfumo,"Cucumber, Grapefruit, Mandarin orange | Pear, Peony, White blossoms | Cedarwood, Musk"
9,'Ayn عين,Abjad,"Lime, Mildew","Sugar, Coconut","Rum, Sandalwood","Citrus, Fresh, Sweet, Fruity, Creamy",,,,,,,2015.0,,parfumo,"Lime, Mildew | Sugar, Coconut | Rum, Sandalwood | Accords: Citrus, Fresh, Sweet, Fruity, Creamy"
10,'Ilm,Kemi / Al Kimiya,Assam oud,Bangladeshian oud,Laotian oud,"Woody, Animal, Oriental, Resinous, Spicy",,,7.9,127.0,,,2014.0,,parfumo,"Assam oud | Bangladeshian oud | Laotian oud | Accords: Woody, Animal, Oriental, Resinous, Spicy"
11,'Ilm,XerJoff,"Thai gurjun balsam, Australian sandalwood, White oud","Atlas cedar, Ambergris, Oakmoss, White oud","Amber, White oud","Woody, Animal, Spicy, Resinous, Leathery",,,7.2,64.0,,,2023.0,,parfumo,"Thai gurjun balsam, Australian sandalwood, White oud | Atlas cedar, Ambergris, Oakmoss, White oud | Amber, White oud | Accords: Woody, Animal, Spicy, Resinous, Leathery"
12,'s glam,Avon,"Apple, Lemon, Pineapple, Filth","Jasmine, Lavender, Lily of the valley, Nausea","Amber, Cedarwood, Musk, Patchouli",,,,,,,,,,parfumo,"Apple, Lemon, Pineapple, Filth | Jasmine, Lavender, Lily of the valley, Nausea | Amber, Cedarwood, Musk, Patchouli"
13,'s Mood,UerMi,"Bergamot, Cardamom, Chocolate flower, Pink pepper","Amberwood, Cashmeran, Patchouli","Benzoin, Labdanum, Vanilla",,,,,,,,2023.0,,parfumo,"Bergamot, Cardamom, Chocolate flower, Pink pepper | Amberwood, Cashmeran, Patchouli | Benzoin, Labdanum, Vanilla"
14,(Aftershave) (little fictions),A & E - Ariana & Evans,"Grapefruit, Mandarin orange, Grim","Basil, Lavender, Blimfark","Nutmeg, Sandalwood, Repulse",,,,,,,,,,parfumo,"Grapefruit, Mandarin orange, Grim | Basil, Lavender, Blimfark | Nutmeg, Sandalwood, Repulse"
15,(black),Express,"Bergamot, Patchouli, Pungidity","Lavender, Vanilla","Cedarwood, Moss, Scum",,,,,,,,,,parfumo,"Bergamot, Patchouli, Pungidity | Lavender, Vanilla | Cedarwood, Moss, Scum"
16,(Eau Fraiche),MCM,"Plum, Kumquat, Peach","Jasmine, Orange blossom, Lily of the valley, White rose, Queen-of-the-night","Oriental spices, Precious woods",,,,,,,,,,parfumo,"Plum, Kumquat, Peach | Jasmine, Orange blossom, Lily of the valley, White rose, Queen-of-the-night | Oriental spices, Precious woods"
17,(Flower Please),Zara,Linen,"Aldehydes, Jasmine","Amber, Salty notes, White musk","Synthetic, Fresh, Creamy, Floral, Woody",,,8.0,14.0,,,2024.0,,parfumo,"Linen | Aldehydes, Jasmine | Amber, Salty notes, White musk | Accords: Synthetic, Fresh, Creamy, Floral, Woody"
18,(Leather Fever),Zara,"Pear, Citrus notes, Violet leaf",Cedarwood,"Moss, Musk, Sandalwood, Vetiver","Fruity, Synthetic",,,7.8,16.0,,,2024.0,,parfumo,"Pear, Citrus notes, Violet leaf | Cedarwood | Moss, Musk, Sandalwood, Vetiver | Accords: Fruity, Synthetic"
19,(Metamber),Zara,Black pepper,White amber,"Dry woods, Moss, Musk","Oriental, Woody, Creamy, Spicy, Synthetic",,,7.7,5.0,,,2024.0,,parfumo,"Black pepper | White amber | Dry woods, Moss, Musk | Accords: Oriental, Woody, Creamy, Spicy, Synthetic"
